Name,Identity,Form,Alt,Alignment,Type,Size,armour_name,stated_ac,armor_bonus,ac,stated_hp,hp,expected_hp,hp_fudge,level,hd,F,A,S,E,R,I,P,H,K,Res,Pop,Powers,Powers_Rank,Powers_Adj,Powers_Adj_Rank,Equipment,Vehicle,Talents,Talents_Adj,Contacts,Contacts_Adj,Weaknesses,Weaknesses_Adj,Powers_Form,Spd,Att,Dam,Climbing,Escaping,martial_arts,mook,attack_parameters,CR,xp,regen,healing_spells,healing_dice,healing_bonus,sc_ability,log,proficiency,initiative_bonus,AB_F,AB_A,AB_S,AB_E,AB_R,AB_I,AB_P
Moon Knight,Marc Spector,,,,,,,,,,,,,,,,Rm,Ex,Ex,Rm,Gd,Ex,Gd,100,60,Rm,,{},{},{},{},"{'Suit': 'Gd protection vs. Physical and Energy, Ex protection vs. Fire and Heat', 'Truncheon': 'Am material, Rm Blunt. It is capable of the following:', 'Grappling Hook': 'Climbing or swinging at a 3 area/round', 'Weapon Conversion': 'It can be converted into either a pair of Nunchakus or a quarterstaff. (Damage remains the same)', 'Crescent-Darts': 'Gd Edge, 3 areas'}",{},"{'Military': 1, 'Driving': 1, 'Thrown Weapons': 1, 'Martial Arts A ': 1, 'Martial Arts E': 1, 'Disguise/Actor': 1, 'Guns': 1, 'Acrobatics': 1}","{'Military': 1, 'Driver': 1, 'Thrown Weapons (Crescent-Darts)': 1, 'Martial arts A': 1, 'E': 1, 'Disguise': 1, 'Guns': 1, 'Acrobatics.': 1}",{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moon Knight,Marc Spector,,,,,,,,,,,,,,,,Ex,Gd,Gd,Ex,Gd,Gd,Gd,60,30,Gd,,{},{},{},{},"{'Costume': ""Moon Knight's costume"", 'Body Armor': 'Gd protection vs. Physical', 'Magnetic Grapple': 'In gauntlets allows for the retrieval of the Truncheon or crescent darts within 1 area', 'Glider Cape': 'Pr airspeed', 'Retractable Cestus': 'It can be retracted and can retrofitted with silver for battling werewolves, his damage increases by +1cs and goes from Blunt to Edge'}",{},"{'Military': 1, 'Weapon Specialist': 1, 'Thrown Weapons': 1, 'Martial Arts A ': 1, 'Acrobatics': 1}","{'Military': 1, 'Weapon Specialist: (Crescent Darts)': 1, 'Thrown Weapons': 1, 'Martial Arts A': 1, 'Acrobatics': 1}","{'Frenchie': 1, 'Marlene': 1, 'The C.I.A': 1, 'The Defenders': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moon Knight,Marc Spector,,,,,,,,,,,,,,,,Rm,Ex,Gd,Ex,Gd,Ex,Gd,80,40,Rm,,"{'Power Boost': ""Through as yet unexplained means, Marc's Strength increases +1cs during a full moon"", 'Regeneration': ""While under the light of a full moon, Marc Spector has been resurrected or healed from mortal wounds that left him wheelchair bound (according to doctors, 'For life') this power, is under the province, power and choosing of Khonshu and it functions at Am ability, allowing him to heal 50 health a turn or 5 health a round when it functions and while at rest""}","{'Power Boost': '', 'Regeneration': 'Am;'}","{'Power Boost': ""Through as yet unexplained means, Marc's Strength increases +1cs during a full moon"", 'Regeneration': ""While under the light of a full moon, Marc Spector has been resurrected or healed from mortal wounds that left him wheelchair bound (according to doctors, 'For life') this power, is under the province, power and choosing of Khonshu and it functions at Am ability, allowing him to heal 50 health a turn or 5 health a round when it functions and while at rest""}",{},"{'Costume': 'Made of a special weave that provides the following:', 'Body Armor': 'Gd protection vs. Physical and Energy, Ex protection vs. Fire and Heat', 'Magnetic Grapple': 'In gauntlets, allows for the retrieval of the Truncheon or crescent darts within 1 area', 'Glider Cape': 'Pr airspeed', 'Retractable Cestus': 'It can be retracted and can retrofitted with silver for battling werewolves, his damage increases by +1cs and goes from Blunt to Edge', 'Truncheon Sticks': 'In material, Ex Blunt', 'Grapple and Hook': 'Climbing or Swinging at 3 areas/round', 'Crescent-Darts': 'Gd Thrown Edge, 3 areas', 'Bola Gun (x2)': 'Fires up to 5 areas, bolas ensnare with Rm Strength', 'Sword': 'In material, Rm Edge', 'Knives (x2)': 'Rm material, Ex Edge'}",{},"{'Military': 1, 'Driving': 1, 'Art': 1, 'Business/Finance': 1, 'Weapon Specialist': 1, 'Martial Arts A ': 1, 'Acrobatics': 1}","{'Military': 1, 'Driver': 1, 'Art': 1, 'Business/Finance': 1, 'Weapon Specialist: (Crescent Darts)': 1, 'Martial Arts A': 1, 'Acrobatics': 1}","{'Frenchie': 1, 'Marlene': 1, 'The C.I.A.': 1, 'The Defenders': 1}",{},"['Multiple Personality Disorder: Moon Knight has a history of mental illness involving Multiple Personality Syndrome, each identity has a different mode of speech and thought. While not a die-hard protection from mental attacks, his Psyche should be considered 1 rank higher for resisting mental attacks, probes, hypnotism and mind control', '', 'Talents: Military, Driver, Art, Business/Finance, Weapon Specialist: (Crescent Darts), Martial Arts A, Acrobatics', '', 'Contacts: Contacts: Frenchie, Marlene, The C.I.A., The Defenders']",{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moon Knight,Marc Spector,,,,,,,,,,,,,,,,Rm,Ex,Ex,Ex,Gd,Ex,Ex,90,50,Rm,,"{'Power Boost': ""While the moon is up, Marc's Fighting, Agility, Strength and Endurance increase +1cs. His Health increases to 130"", 'Regeneration': ""While under the light of a full moon, Marc Spector has been resurrected or healed from mortal wounds that left him wheelchair bound (according to doctors, 'For life') this power, is under the province, power and choosing of Khonshu and it functions at Am ability, allowing him to heal 50 health a turn or 5 health a round when it functions and while at rest.""}","{'Power Boost': '', 'Regeneration': 'Am;'}","{'Power Boost': ""While the moon is up, Marc's Fighting, Agility, Strength and Endurance increase +1cs. His Health increases to 130"", 'Regeneration': ""While under the light of a full moon, Marc Spector has been resurrected or healed from mortal wounds that left him wheelchair bound (according to doctors, 'For life') this power, is under the province, power and choosing of Khonshu and it functions at Am ability, allowing him to heal 50 health a turn or 5 health a round when it functions and while at rest.""}",{},"{'Costume': 'Made of a special weave that provides the following:', 'Body Armor': 'Gd protection vs. Physical and Energy, Ex protection vs. Fire and Heat.', 'Magnetic Grapple': 'In gauntlets, allows for the retrieval of the Truncheon or crescent darts within 1 area', 'Glider Cape': 'Pr airspeed', 'Retractable Cestus': 'It can be retracted and can retrofitted with silver for battling werewolves, his damage increases by +1cs and goes from Blunt to Edge', 'White Noise Generator': 'Rm protection vs. Sonics', 'Ankh': 'Glows in the presence of danger giving Moon Knight the equivalent of Mn Danger Sense.', 'Bola': 'Ty damage or Gd Grappling, thrown up to 3 areas', 'Ivory Boomerang': 'Ex Thrown Blunt, 3 areas when thrown. It is capable of returning to the thrower.', 'Lasso': 'Gd damage or Ex Grappling, 1 area, Moon Knight can also use it as a grapple, enabling him to climb walls at a rate of 2 stories per turn.', 'Scarab Darts': ""Gd Thrown Edge, 3 areas, As a 'Called Shot' they can be used to pin targets to walls."", 'Throwing Irons': 'Gd Thrown Blunt, 5 areas'}",{},"{'Military': 1, 'Driving': 1, 'Art': 1, 'Business/Finance': 1, 'Thrown Weapons': 1, 'Martial Arts A ': 1, 'Acrobatics': 1}","{'Military': 1, 'Driver': 1, 'Art': 1, 'Business/Finance': 1, 'Thrown Weapons': 1, 'Martial Arts A': 1, 'Acrobatics': 1}","{'Frenchie': 1, 'Marlene': 1, 'The C.I.A.': 1, 'The Defenders': 1, 'the West Coast Avengers': 1}",{},"['Multiple Personality Disorder: Moon Knight has a history of mental illness involving Multiple Personality Syndrome, each identity has a different mode of speech and thought. While not a die-hard protection from mental attacks, his Psyche should be considered 1 rank higher for resisting mental attacks, probes, hypnotism and mind control. ', '', 'Talents: Military, Driver, Art, Business/Finance, Thrown Weapons, Martial Arts A, Acrobatics', '', 'Contacts: Frenchie, Marlene, The C.I.A., The Defenders, the West Coast Avengers']",{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moon Knight,Marc Spector,,,,,,,,,,,,,,,,Rm,Ex,Ex,Rm,Gd,Ex,Ex,100,50,Rm,,{},{},{},{},"{'Costume': 'Made of a special weave that provides the following:', 'Body Armor': 'Gd protection vs. Physical and Energy, Ex protection vs. Fire and Heat. -Magnetic Grapple', 'Glider Cape': 'Pr airspeed', 'Retractable Cestus': 'It can be retracted and can retrofitted with silver for battling werewolves, his damage increases by +1cs and goes from Blunt to Edge', 'Truncheon': 'Am material, Rm Blunt. It also contains the following:', 'Grappling Hook': 'Climbing or swinging at a 3 area/round', 'Weapon Conversion': 'It can be converted into either a pair of Nunchakus or a quarterstaff. (Damage remains the same)', 'Crescent-Darts': 'Gd Edge, 3 areas, he aslo has the following types:', 'Explosive': 'Rm damage to an entire area'}",{},"{'Military': 1, 'Driving': 1, 'Art': 1, 'Business/Finance': 1, 'Weapon Specialist': 1, 'Martial Arts A ': 1, 'Martial Arts B': 1, 'Martial Arts E': 1, 'Disguise/Actor': 1, 'Marksman': 1, 'Weapon Master': 1, 'Acrobatics': 1, 'Tumbling': 1}","{'Military': 1, 'Driver': 1, 'Art': 1, 'Business/Finance': 1, 'Weapon Specialist: (Crescent Darts)': 1, 'Martial Arts A': 1, 'B': 1, 'E': 1, 'Disguise': 1, 'Marksmanship': 1, 'Weapons Master': 1, 'Acrobatics': 1, 'Tumbling': 1}",{'None': 1},{},"['Multiple Personality Disorder: Moon Knight has a history of mental illness involving Multiple Personality Syndrome, each identity has a different mode of speech and thought. While not a die-hard protection from mental attacks, his Psyche should be considered 1 rank higher for resisting mental attacks, probes, hypnotism and mind control. ', ' ', 'Talents: Military, Driver, Art, Business/Finance, Weapon Specialist: (Crescent Darts), Martial Arts A, B, E, Disguise, Marksmanship, Weapons Master, Acrobatics, Tumbling ', '', 'Contacts: None']",{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moon Knight,Marc Spector,,,,,,,,,,,,,,,,Rm,Ex,Ex,Rm,Gd,Ex,Rm,110,60,Rm,,"{'Visitations from Khonshu': 'He communes with Khonshu, whether he wants to or not, and as long as he continues to his bidding, he receives blessings:', 'Power Boost': ""under the light of the full moon, Marc's Fighting, Agility, Strength and Endurance increase +1CS. His health increases to 150."", 'Regeneration': 'Am, allowing him to heal 50 health a turn or 5 health a round when it functions and while at rest.', 'Iron Will': ""Gd, while he will be battered, bruised and bleeding, he won't lose health until Khonshu wills it, usually just in time for Regeneration.""}","{'Visitations from Khonshu': '', 'Power Boost': '', 'Regeneration': 'Am;', 'Iron Will': 'Gd;'}","{'Deity': 'Testing One Only', 'Power Boost': ""under the light of the full moon, Marc's Fighting, Agility, Strength and Endurance increase +1CS. His health increases to 150."", 'Regeneration': 'Am, allowing him to heal 50 health a turn or 5 health a round when it functions and while at rest.', 'Iron Will': ""Gd, while he will be battered, bruised and bleeding, he won't lose health until Khonshu wills it, usually just in time for Regeneration.""}",{},"{'Costume': 'Made of a special weave that provides him with the following:', 'Body Armor': 'Gd protection vs. Physical and Energy, Ex protection vs. Fire and Heat', 'Magnetic Grapple': 'In gauntlets, allows for the retrieval of the Truncheon or crescent darts within 1 area', 'Glider Cape': 'Pr airspeed', 'Retractable Cestus': 'It can be retracted and can retrofitted with silver for battling werewolves, his damage increases by +1cs and goes from Blunt to Edge', 'Truncheon': 'Am material, Rm Blunt. It also contains the following:', 'Grappling Hook': 'Climbing or swinging at a 3 area/round', 'Weapon Conversion': 'It can be converted into either a pair of Nunchakus or a quarterstaff. (Damage remains the same)', 'Crescent-Darts': 'Gd Edge, 3 areas'}",{},"{'Military': 1, 'Driving': 1, 'Art': 1, 'Business/Finance': 1, 'Thrown Weapons': 1, 'Martial Arts A ': 1, 'Martial Arts B': 1, 'Martial Arts E': 1, 'Disguise/Actor': 1, 'Marksman': 1, 'Weapon Master': 1, 'Acrobatics': 1, 'Tumbling': 1}","{'Military': 1, 'Driver': 1, 'Art': 1, 'Business/Finance': 1, 'Thrown Weapons': 1, 'Martial Arts A': 1, 'B': 1, 'E': 1, 'Disguise': 1, 'Marksmanship': 1, 'Weapons Master': 1, 'Acrobatics': 1, 'Tumbling': 1}","{'Frenchie': 1, 'Marlene Alraune': 1, 'The C.I.A.': 1, 'The Defenders': 1, 'the Avengers': 1}",{},"['Multiple Personality Disorder: Moon Knight has a history of mental illness involving Multiple Personality Syndrome, each identity has a different mode of speech and thought. While not a die-hard protection from mental attacks, his Psyche should be considered 1 rank higher for resisting mental attacks, probes, hypnotism and mind control. ', '', 'Talents: Military, Driver, Art, Business/Finance, Thrown Weapons, Martial Arts A, B, E, Disguise, Marksmanship, Weapons Master, Acrobatics, Tumbling ', '', 'Contacts: Frenchie, Marlene Alraune, The C.I.A., The Defenders, the Avengers']",{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moon Knight,Marc Spector,,,,,,,,,,,,,,,,Rm,Ex,Ex,Rm,Gd,Ex,Rm,100,60,Rm,,{},{},{},{},"{'Crescent Pistols': '(x2) Gd Shooting, 3 areas', 'Grappling Hook': 'Rm material, Climbing or swinging at a 3 area/round', 'Crescent-Darts': 'Gd Edge, 3 areas', 'Carbondium Battle Suit': 'Mn material, Moon Knight wore a costume that was made of Carbonadium which he claimed was almost as tough as Adamantium but more flexible. It  provides the following abilities:', 'Body Armor': 'Ex protection vs. Physical and Energy, Rm protection vs. Fire and Heat, Rm protection vs. Sonics', 'Interlocking Joints': 'The Carbondium Armor is designed to lock together at the joints to provide support when bearing weights up to Am', 'Glider Cape': 'Pr airspeed', 'Parachutes': 'Gd Gliding', 'Grapnel': 'Rm material, Used for transportation (3 areas/round)'}",{},"{'Military': 1, 'Driving': 1, 'Business/Finance': 1, 'Weapon Specialist': 1, 'Martial Arts A ': 1, 'Martial Arts B': 1, 'Martial Arts E': 1, 'Disguise/Actor': 1, 'Marksman': 1, 'Weapon Master': 1, 'Acrobatics': 1, 'Tumbling': 1}","{'Military': 1, 'Driver': 1, 'Business Finance': 1, ""Weapon Specialist: Crescent Dart's"": 1, 'Martial Arts A': 1, 'B': 1, 'E': 1, 'Disguise': 1, 'Marksmanship': 1, 'Weapons Master': 1, 'Acrobatics': 1, 'Tumbling': 1}","{'Frenchie': 1, 'Marlene': 1, 'The C.I.A.': 1, 'The Defenders': 1, 'the Avengers': 1}",{},"['Multiple Personality Disorder: Moon Knight has a history of mental illness involving Multiple Personality Syndrome, each identity has a different mode of speech and thought. While not a die-hard protection from mental attacks, his Psyche should be considered 1 rank higher for resisting mental attacks, probes, hypnotism and mind control. ', '', ""Talents: Military, Driver, Business Finance, Weapon Specialist: Crescent Dart's, Martial Arts A, B, E, Disguise, Marksmanship, Weapons Master, Acrobatics, Tumbling "", '', 'Contacts: Frenchie, Marlene, The C.I.A., The Defenders, the Avengers']",{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moon Knight,Marc Spector,,,,,,,,,,,,,,,,Rm,Ex,Ex,Rm,Gd,Ex,Rm,110,60,Rm,,{},{},{},{},"{'Costume': 'Made of a special weave that provides him with the following:', 'Body Armor': 'Gd protection vs. Physical and Energy, Ex protection vs. Fire and Heat', 'Glider Cape': 'Pr airspeed', 'Gauntlets': 'Buck Lime created a pair of bracers which can be used in the following ways:', 'Claws': 'Un material, Rm Edge', 'Web-Shooters': 'Shoots up to 7 areas, In material strength in round it was fired. Mn in next round. Used for transportation (3 areas a round) and restraining.', 'Zero Point Energy Shield': 'He can block up to 90 damage, but he is still subject to stuns and slams. It can be used to deal Am Energy or Force, 7 areas; however, he cannot use this in junction with the shield'}",{},"{'Military': 1, 'Driving': 1, 'Art': 1, 'Business/Finance': 1, 'Thrown Weapons': 1, 'Martial Arts A ': 1, 'Martial Arts B': 1, 'Martial Arts E': 1, 'Disguise/Actor': 1, 'Marksman': 1, 'Weapon Master': 1, 'Acrobatics': 1, 'Tumbling': 1}","{'Military': 1, 'Driver': 1, 'Art': 1, 'Business/Finance': 1, 'Thrown Weapons': 1, 'Martial Arts A': 1, 'B': 1, 'E': 1, 'Disguise': 1, 'Marksmanship': 1, 'Weapons Master': 1, 'Acrobatics': 1, 'Tumbling': 1}",{},{},"['Multiple Personality Disorder: Moon Knight has a history of mental illness involving Multiple Personality Syndrome, each identity has a different mode of speech and thought. While not a die-hard protection from mental attacks, his Psyche should be considered 1 rank higher for resisting mental attacks, probes, hypnotism and mind control. ', '', 'Talents: Military, Driver, Art, Business/Finance, Thrown Weapons, Martial Arts A, B, E, Disguise, Marksmanship, Weapons Master, Acrobatics, Tumbling']",{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moonraker,,,,,,,,,,,,,,,,,Rm,Ex,Ex,In,Gd,Ex,Rm,110,60,Gd,,"{'Fire Generation': 'In ability to emit fire from his hands', 'Time Manipulation': 'Am ability to negate the events that had already happened within a 3-area radius around him. He does not realize that he has this ability'}","{'Fire Generation': 'In;', 'Time Manipulation': 'Am;'}","{'Fire Generation': 'In ability to emit fire from his hands', 'Time Manipulation': 'Am ability to negate the events that had already happened within a 3-area radius around him. He does not realize that he has this ability'}",{},{},{},"{'Martial Arts B': 1, 'Martial Arts C': 1, 'Acrobatics': 1}","{'Martial Arts B': 1, 'C': 1, 'Acrobatics': 1}",{},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Mirage,Danielle 'Dani' Moonstar,,,,,,,,,,,,,,,,Gd,Gd,Gd,Rm,Gd,Ex,In,60,70,Gd,,"{'Mental Probe': 'Un to detect emotion-laden thoughts.', 'Illusion Casting': 'Un to create a targets greatest fear or desire, targets reduced to 0 health due to these images fall unconscious for 1-10 rounds.', 'Empathy': 'Mn with animals and shape-changers.'}","{'Mental Probe': 'Un;', 'Illusion Casting': 'Un;', 'Empathy': 'Mn;'}","{'Mental Probe': 'Un to detect emotion-laden thoughts.', 'Illusion Casting': 'Un to create a targets greatest fear or desire, targets reduced to 0 health due to these images fall unconscious for 1-10 rounds.', 'Empathy': 'Mn with animals and shape-changers.'}",{},{},{},"{'Tracking': 1, 'Survival': 1, 'Equestrian': 1, 'Weapon Specialist': 1}","{'Hunting': 1, 'Survival': 1, 'Equestrian': 1, 'Bows': 1, 'Bilingual (English and Cheyenne)': 1}","{'New Mutants': 1, 'Xavier Institute for Higher Learning': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Danielle Moonstar,,,,,,,,,,,,,,,,,Mn,Rm,Am,Am,Ty,Ex,Gd,205,36,Gd,,"{'Body Armor': 'Am protection vs. Physical', 'Death Sense': ""Un ability to sense a being's approaching death. At the Gamemaster's option, he/she may have Moonstar attempt a FEAT roll to determine if she has detected a death glow. If she does, one character, randomly chosen, will be placed in a deadly situation. This character will attract attacks and is unable to spend any Karma on Endurance FEAT rolls for the duration of the adventure.""}","{'Body Armor': 'Am;', 'Death Sense': 'Un;'}","{'Body Armor': 'Am protection vs. Physical', 'Death Sense': ""Un ability to sense a being's approaching death. At the Gamemaster's option, he/she may have Moonstar attempt a FEAT roll to determine if she has detected a death glow. If she does, one character, randomly chosen, will be placed in a deadly situation. This character will attract attacks and is unable to spend any Karma on Endurance FEAT rolls for the duration of the adventure.""}",{},{},{},"{'Tracking': 1, 'Survival': 1, 'Equestrian': 1, 'Weapon Specialist': 1, 'Bilingual': 1, 'Cheyenne': 1, 'Martial Arts A ': 1, 'Sharp Weapons': 1}","{'Hunting': 1, 'Survival': 1, 'Equestrian': 1, 'Bows': 1, 'Bi-Lingual: (English': 1, 'Cheyenne)': 1, 'Martial Arts A': 1, 'Edged Weapons': 1}","{'X-Men': 1, 'New Mutants': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moonstone,Karla Sophen,,,,,,,,,,,,,,,,Ex,Ex,Mn,In,Gd,Gd,Ex,155,40,Ty,,"{'Light Manipulation': 'Am, may create light from all parts of the spectrum, may produce a blinding flash or laser (20 area range, may slam/stun opponents with up to Un endurance)', 'Energy Blast': 'Am Energy, 10 areas', 'Gravity Manipulation': 'CL1000, Moonstone can manipulate the fundamental force of gravity to her own ends. She can easily handle 10 actions per round and can go as high as 6 with a simple Green Feat. If she fails that Feat all actions, other than the new actions, cease.', 'Phasing': 'Am', 'Phase Others': 'Am ability', 'Flight': 'Rm airspeed, Can fly through water at half speed', 'Wormhole': 'Un, Moonstone has the ability to open wormholes to teleport herself and others several miles at a time.', 'Invisibility': 'Am, able to bend light around herself to make herself and others invisible.'}","{'Light Manipulation': 'Am;Un;', 'Energy Blast': 'Am;', 'Gravity Manipulation': 'CL1000;', 'Phasing': 'Am;', 'Phase Others': 'Am;', 'Flight': 'Rm;', 'Wormhole': 'Un;', 'Invisibility': 'Am;'}","{'Light Manipulation': 'Am, may create light from all parts of the spectrum, may produce a blinding flash or laser (20 area range, may slam/stun opponents with up to Un endurance)', 'Energy Blast': 'Am Energy, 10 areas', 'Gravity Manipulation': 'CL1000, Moonstone can manipulate the fundamental force of gravity to her own ends. She can easily handle 10 actions per round and can go as high as 6 with a simple Green Feat. If she fails that Feat all actions, other than the new actions, cease.', 'Phasing': 'Am', 'Body Transformation-Others': 'Testing One Only', 'Flight': 'Rm airspeed, Can fly through water at half speed', 'Teleportation': 'Testing One Only', 'Invisibility': 'Am, able to bend light around herself to make herself and others invisible.'}",{},{'Body Armor': 'Rm protection vs. Physical and Energy attacks'},{},"{'Psychiatry': 1, 'Medicine': 1, 'Streetwise': 1}","{'Psychiatry': 1, 'Medicine': 1, 'Streetwise': 1}",{'Thunderbolts': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moonstone,Dr. Karla Sofen,,,,,,,,,,,,,,,,Gd,Ex,In,Rm,Gd,Gd,Ex,100,40,Ty,,"{'Light Manipulation': 'Am ability to create light from all parts of the light spectrum. Karla may produce the following power stunts:', 'Energy Blast': 'Am Energy, 10 areas', 'Blinding Flash': 'Unleash an Am intensity light that Stuns and Slams opponents of up to Un Endurance', 'Phasing': 'Am', 'True Flight': 'Rm airspeed'}","{'Light Manipulation': 'Am;', 'Energy Blast': 'Am;', 'Blinding Flash': 'Am;Un;', 'Phasing': 'Am;', 'True Flight': 'Rm;'}","{'Light Manipulation': 'Am ability to create light from all parts of the light spectrum. Karla may produce the following power stunts:', 'Energy Blast': 'Am Energy, 10 areas', 'Blinding Flash': 'Unleash an Am intensity light that Stuns and Slams opponents of up to Un Endurance', 'Phasing': 'Am', 'True Flight': 'Rm airspeed'}",{},{'Body Armor': 'Rm protection vs. Physical and Energy attacks.'},{},"{'Psychiatry': 1, 'Medicine': 1, 'Streetwise': 1}","{'Psychiatry': 1, 'Medicine': 1, 'Streetwise': 1}",{'Thunderbolts': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Moonstone,Lloyd Bloch,,,,,,,,,,,,,,,,Gd,Ex,Am,Rm,Gd,Gd,Gd,110,30,Ty,,"{'Light Manipulation': 'Am, may create light from all parts of the spectrum, may produce a blinding flash or laser (20 area range, may slam/stun opponents with up to Un endurance)', 'Phasing': 'Am', 'Flight': 'Rm airspeed. Can fly through water at half speed', 'Body Armor': 'Rm protection vs. physical and energy attacks'}","{'Light Manipulation': 'Am;Un;', 'Phasing': 'Am;', 'Flight': 'Rm;', 'Body Armor': 'Rm;'}","{'Light Manipulation': 'Am, may create light from all parts of the spectrum, may produce a blinding flash or laser (20 area range, may slam/stun opponents with up to Un endurance)', 'Phasing': 'Am', 'Flight': 'Rm airspeed. Can fly through water at half speed', 'Body Armor': 'Rm protection vs. physical and energy attacks'}",{},{},{},{'Crime': 1},{'Crime': 1},{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Morass,,,,,,,,,,,,,,,,,Gd,Gd,In,Mn,Ty,Ty,Ty,135,18,Ty,,"{'Elongation': 'Morass can elongate portions of her body, such as fingers, to form tendrils, out to 5 yards.', 'Plasticity': 'In ability to reshape her body to deflect damage or to create different weapon types, such as hammers'}","{'Elongation': '', 'Plasticity': 'In;'}","{'Elongation': 'Morass can elongate portions of her body, such as fingers, to form tendrils, out to 5 yards.', 'Plasticity': 'In ability to reshape her body to deflect damage or to create different weapon types, such as hammers'}",{},{},{},"{'Guns': 1, 'Military': 1}","{'Guns': 1, 'Military': 1}",{'Gamma Corps: Black': 1},{},"['Silent: Morass is unable to speak.', 'Vulnerable to Heat: As a creature made of radioactive mud, Morass is vulnerable to drying out. Any attack by flame or heat, she must make a Yellow Endurance FEAT, with her Endurance reduced by the intensity of the heat. She is also vulnerable to anything that would reduce her moisture content significantly (such as salt flats).', '', 'Talents: Guns, Military', '', 'Contacts: Gamma Corps: Black']",{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Morbius the Living Vampire,Dr. Michael Morbius,,,,,,,,,,,,,,,,Ex,Ex,Rm,Am,Rm,Ex,Gd,120,60,Gd,,"{'Gliding': 'Pr airspeed', 'Fangs': 'Gd Edge in Melee', 'Claws': 'Gd Edge', 'Regeneration': 'Am', 'Vampirism': 'Can steal others Health and add it to his own.', 'Bloodlust': ""Berserker when he hasn't fed. Reason and Psyche drop to Fb and those numbers are divided between strength and Fighting or... When Morbius reaches 30 Health All Physical stats drop -2cs and for every 10 points after this he loses another -2cs. Bloodlust takes over and feeding will replenish his own health."", 'Distend': ""Rm Plasticity; use to determine escape attempts, passage through tight spaces and he has morphed around bullets (this hurts. If Morbius does this he takes full damage from the bullets, but isn't killed by them)""}","{'Gliding': 'Pr;', 'Fangs': 'Gd;', 'Claws': 'Gd;', 'Regeneration': 'Am;', 'Vampirism': '', 'Bloodlust': 'Fb;', 'Distend': 'Rm;'}","{'Gliding': 'Pr airspeed', 'Fangs': 'Gd Edge in Melee', 'Claws': 'Gd Edge', 'Regeneration': 'Am', 'Vampirism': 'Can steal others Health and add it to his own.', 'Berserk': 'Testing One Only', 'Plasticity': 'Testing One Only'}",{},"{'Weakness': '', 'Sunlight': 'Un damage each round', 'Hunger': 'each day Morbius must kill and feast on blood of the guilty (No loss of Karma) if he fails to find someone that he loses control and will attack anyone he sees (Loss of ALL Karma if death occurs)'}",{},"{'Biology': 1, 'Radiation': 1, 'Genetics': 1, 'Chemistry': 1, 'Mystic Backgroud': 1}","{'Biology': 1, 'Radiation': 1, 'Genetics': 1, 'Chemistry': 1, 'Occult Lore': 1}","{'Dr. Strange': 1, 'Midnight Sons': 1, 'Spider-Man': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Mordecai Midas,,,,,,,,,,,,,,,,,Gd,Gd,Am,Mn,Rm,Ex,Ex,145,70,Ex,,"{'Golden Form': 'Midas’ body is now covered in gold. This gives him the following abilities:', 'Self-Sustenance': 'Doesn’t need to eat, sleep or breathe', 'Gold Absorption': 'Midas requires gold for sustenance. He absorbs this through his skin with In ability', 'Golden Touch': 'Am ability to transform organic and inorganic objects into gold by touch. Objects become In material'}","{'Golden Form': '', 'Self-Sustenance': '', 'Gold Absorption': 'In;', 'Golden Touch': 'In;Am;'}","{'Golden Form': 'Midas’ body is now covered in gold. This gives him the following abilities:', 'Self-Sustenance': 'Doesn’t need to eat, sleep or breathe', 'Absorption': 'Testing One Only', 'Body Transformation-Others': 'Testing One Only'}",{},{},{},"{'Economics': 1, 'Business/Finance': 1, 'Crime': 1, 'Tactics': 1}","{'Economy': 1, 'Business/Finance': 1, 'Crime': 1, 'Tactician': 1}",{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
